Team,Sponsor,Category,Region,Visability,Value_Level
Red Bull,Oracle,Tech,USA,Car,High
Red Bull,Heineken,Beverages,EU,Suit,Medium
Red Bull,Mobil1,Energy,USA,Car,Medium
Red Bull,Visa,Finance,USA,Car,High
Red Bull,TAGHeuer,Luxury Goods,EU,Car,High
Aston Martin,MAADEN,Energy,Middle East,Car,Low
Aston Martin,Honda,Automotive,Asia  ,Car,Medium
Aston Martin,BOSS,Clothing,EU,Car,High
Aston Martin,TikTok,Tech,Asia  ,Car,High
Aston Martin,CoreWeave,Tech,USA,Car,Medium
Alpine,BWT,Consumer Goods,EU,Car,High
Alpine,eni,Energy,EU,Car,Medium
Alpine,MSC,Consumer Goods,EU,Car,Medium
Alpine,H.Moser & Cie.,Luxury Goods,EU,Car,Low
Alpine,R5 TURBO 3E,Automotive,EU,Car,Medium
Visa RB,Ford Racing,Automotive,USA,Car,Medium
Visa RB,TUDOR,Luxury Goods,EU,Car,Medium
Visa RB,VISA,Finance,USA,Car,High
Visa RB,Cash App,Finance,USA,Car,High
Visa RB,HUGO,Clothing,EU,Car,High
